id,treatment,y
1,0,644.005102041662
2,0,90.9163549163238
3,0,511.870517260712
4,0,255.601641439165
5,1,61.4982357432367
6,0,172.482146448708
7,1,168.163883723915
8,1,49.8970728343396
9,0,2.44216370644506
10,1,224.820748927745
11,0,68.6543663802518
12,0,25.5028890735733
13,0,57.9919049490498
14,0,53.1027559394795
15,0,22.455072980491
16,0,29.9847180795845
17,0,6.69291619884034
18,0,48.1776440664362
19,0,32.5107574014299
20,0,148.068237430351
21,0,16.9316027589468
22,0,21.0645045677437
23,1,17.2427940580454
24,1,193.310791567965
25,0,2.44276203493082
26,0,22.8879692899222
27,0,58.6354584177143
28,0,99.7074704447778
29,0,122.801776327203
30,0,6.99616839513451
31,0,36.056672548854
32,0,152.655808421877
33,1,282.072536514629
34,0,307.427870153678
